id,family_class,coeffs,R_struct,lambda_kind,theta_inf,theta_0,theta_star,trace_invariant,painleve_class,all_rational_4tuple
A001,A,"a:-18,1,3;b:-9,3",-2/9,rational-resonance 1/2,1/2,1/3,1/3,11/18,Generic,True
A002,A,"a:-18,6,-2;b:9,2",-2/9,integer-resonance k=2,1/2,-1/2,-2/9,-2/9,PVI-rigid-Q,True
A003,A,"a:-18,3,4;b:9,-6",-2/9,integer-resonance k=2,1/2,1/9,2/3,7/18,PVI-rigid-Q,True
A004,A,"a:-2,4,2;b:-3,-6",-2/9,rational-resonance 1/2,1/2,1/18,-2,1/3,Generic,True
A005,A,"a:-8,5,-6;b:-6,-4",-2/9,rational-resonance 1/2,1/2,-3/8,-2/3,-7/72,Generic,True
A006,A,"a:-18,-1,-4;b:9,-1",-2/9,integer-resonance k=2,1/2,-4,1/9,-67/18,PVI-rigid-Q,True
A007,A,"a:-32,4,-3;b:12,-3",-2/9,integer-resonance k=2,1/2,-1/3,1/4,-1/18,PVI-Schwarz-cand,True
A008,A,"a:-2,4,-5;b:3,6",-2/9,integer-resonance k=2,1/2,-5/36,-2,5/36,PVI-rigid-Q,True
A009,A,"a:-8,-2,3;b:6,5",-2/9,integer-resonance k=2,1/2,3/25,-5/6,179/450,PVI-rigid-Q,True
A010,A,"a:-8,-3,1;b:-6,-3",-2/9,rational-resonance 1/2,1/2,1/9,-1/2,7/18,Generic,True
A011,A,"a:-18,0,6;b:-9,-6",-2/9,rational-resonance 1/2,1/2,1/6,-2/3,4/9,Generic,True
A012,A,"a:-8,-5,4;b:6,4",-2/9,integer-resonance k=2,1/2,1/4,-2/3,19/36,PVI-Schwarz-cand,True
A013,A,"a:-32,4,-1;b:-12,5",-2/9,rational-resonance 1/2,1/2,-1/25,5/12,107/450,Generic,True
A014,A,"a:-50,1,-5;b:-15,4",-2/9,rational-resonance 1/2,1/2,-5/16,4/15,-5/144,Generic,True
A015,A,"a:-50,6,3;b:15,2",-2/9,integer-resonance k=2,1/2,3/4,-2/15,37/36,PVI-rigid-Q,True
A016,A,"a:-8,-6,-4;b:6,6",-2/9,integer-resonance k=2,1/2,-1/9,-1,1/6,PVI-rigid-Q,True
A017,A,"a:-8,0,0;b:6,-1",-2/9,integer-resonance k=2,1/2,0,1/6,5/18,PVI-Schwarz-cand,True
A018,A,"a:-8,2,-6;b:-6,-1",-2/9,rational-resonance 1/2,1/2,-6,-1/6,-103/18,Generic,True
A019,A,"a:-50,4,1;b:-15,6",-2/9,rational-resonance 1/2,1/2,1/36,2/5,11/36,Generic,True
A020,A,"a:-18,6,-5;b:-9,-4",-2/9,rational-resonance 1/2,1/2,-5/16,-4/9,-5/144,Generic,True
A021,A,"a:-50,-5,5;b:15,1",-2/9,integer-resonance k=2,1/2,5,-1/15,95/18,PVI-rigid-Q,True
A022,A,"a:-8,2,2;b:-6,4",-2/9,rational-resonance 1/2,1/2,1/8,2/3,29/72,Generic,True
