idx,label,source,deg_a,deg_b,a_str,b_str,a_top,b_top,R_struct,disc_a,disc_a_neg,disc_a_psq,BT_disc,lam_ratio,int_resonance,stokes_idx,conv_slope,r_final_log10,finite_termination
0,T0,F24_Rat_finite_termination,2,2,"-2,0,2","4,1,-1",-2,4,-0.125,16,0,1,8,5.828427124746191,0,1,0.0,-1000000000.0,1
1,T1,irr_482,0,2,1,"3,2,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
2,T0,F24_Rat_finite_termination,2,2,"4,-1,-3","-3,-4,3",4,-3,0.4444444444444444,49,0,1,25,0.25,0,0,0.0,-1000000000.0,1
3,T0,F24_Rat_finite_termination,2,2,"0,2,-2","1,-2,-3",0,1,0.0,4,0,1,1,1000000000.0,0,0,0.0,-1000000000.0,1
4,T1,irr_482,0,2,1,"2,-1,3",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
5,T0,F24_Rat_finite_termination,2,2,"2,-4,2","4,1,1",2,4,0.125,0,0,1,24,9.898979485566361,0,1,0.0,-1000000000.0,1
6,T1,irr_482,0,2,1,"1,-4,5",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
7,T1,irr_482,0,2,1,"1,-1,5",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
8,T1,irr_482,0,2,1,"5,2,4",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
9,T0,F24_Rat_finite_termination,2,2,"3,-4,1","0,-2,4",3,0,nan,4,0,1,12,1.0,0,1,0.0,-1000000000.0,1
10,T0,F24_Rat_finite_termination,2,2,"3,-4,1","0,-2,-2",3,0,nan,4,0,1,12,1.0,0,1,0.0,-1000000000.0,1
11,T0,F24_Rat_finite_termination,2,2,"0,-2,2","-4,-2,1",0,-4,0.0,4,0,1,16,0.0,0,0,0.0,-1000000000.0,1
12,T1,irr_482,0,2,1,"6,-2,3",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
13,T0,F24_Rat_finite_termination,2,2,"2,2,-4","-2,-4,-2",2,-2,0.5,36,0,1,12,0.2679491924311227,0,1,0.0,-1000000000.0,1
14,T0,F24_Rat_finite_termination,2,2,"-2,2,0","2,0,4",-2,2,-0.5,4,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
15,T0,F24_Rat_finite_termination,2,2,"-2,4,0","3,1,-2",-2,3,-0.2222222222222222,16,0,1,1,2.0,1,0,0.0,-1000000000.0,1
16,T0,F24_Rat_finite_termination,2,2,"2,-4,2","0,0,-2",2,0,nan,0,0,1,8,1.0,0,1,0.0,-1000000000.0,1
17,T1,irr_482,0,2,1,"4,-3,1",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
18,T0,F24_Rat_finite_termination,2,2,"2,-2,0","-3,-2,-2",2,-3,0.2222222222222222,4,0,1,17,0.1576707807867546,0,1,0.0,-1000000000.0,1
19,T0,F24_Rat_finite_termination,2,2,"-3,3,0","-4,4,4",-3,-4,-0.1875,9,0,1,4,0.3333333333333333,0,0,0.0,-1000000000.0,1
20,T0,F24_Rat_finite_termination,2,2,"0,1,-2","2,-4,4",0,2,0.0,1,0,1,4,1000000000.0,0,0,0.0,-1000000000.0,1
