family_id,alpha_3,alpha_2,alpha_1,alpha_0,Delta_3,Delta_3_sign,abs_Delta_3,log_abs_Delta_3,absD_mod_8,absD_mod_12,absD_parity,smallest_prime_div,omega_Delta_3,Galois_group,CM_disc,r1,r2,bin,log_Mahler,j_invariant,log_abs_j,genus,class_number,class_number_plus,conductor,regulator,fund_unit_norm,unit_density,A_fit,A_stderr,delta
1,1,-3,-3,-3,-864,-1,864,6.761572768804055,0,0,0,2,2,S_3,-6.0,1,1,-_S3_CM,1.3740631224599753,-1728.0,7.455298485683291,1,,,,,,,5.9677983721296615,0.0019227305442087992,-0.032201627870338534
2,1,-3,-3,-2,-459,-1,459,6.129050210060545,3,3,1,3,2,S_3,-51.0,1,1,-_S3_CM,1.3611231769786103,-3252.705882352941,8.087549897201235,1,,,,,,,5.972564099351623,0.002702995568521882,-0.027435900648376865
3,1,-3,-3,-1,-108,-1,108,4.68213122712422,4,0,0,2,2,S_3,-3.0,1,1,-_S3_CM,1.347377348329384,-13824.0,9.534233826390535,1,,,,,,,5.969660394186659,0.0018412895679668709,-0.030339605813341386
4,1,-3,-3,2,621,1,621,6.431331081933479,5,9,1,3,2,S_3,69.0,3,0,+_S3_real,1.435435020577539,2404.1739130434785,7.785377493041186,1,,,,,,,5.9719021753974575,0.0017731948582030968,-0.02809782460254251
5,1,-3,-3,3,756,1,756,6.628041376179533,4,0,0,2,3,S_3,21.0,3,0,+_S3_real,1.5139412146059232,1974.857142857143,7.5887575795693945,1,,,,,,,5.9715309631845725,0.001645224347499036,-0.02846903681542745
6,1,-3,-2,-3,-823,-1,823,6.71295620067707,7,7,1,823,1,S_3,-823.0,1,1,-_S3_CM,1.3210480002714795,-1049.8177399756987,6.9573239400210865,1,,,,,,,5.953632089052144,0.009841127537179244,-0.04636791094785586
7,1,-3,-2,-2,-472,-1,472,6.156978985585555,0,4,0,2,2,S_3,-118.0,1,1,-_S3_CM,1.3053812582475288,-1830.5084745762713,7.512895209331435,1,,,,,,,5.968840417852577,0.0028905985769363605,-0.031159582147423315
8,1,-3,-2,-1,-175,-1,175,5.1647859739235145,7,7,1,5,2,S_3,-7.0,1,1,-_S3_CM,1.288506512723928,-4937.142857142857,8.504744599649243,1,,,,,,,5.969506567224815,0.002813616757118991,-0.030493432775185347
9,1,-3,-2,1,257,1,257,5.54907608489522,1,5,1,257,1,S_3,257.0,3,0,+_S3_real,1.2501491598607561,3361.8677042801555,8.120549372364094,1,,,,,,,5.9773689105957475,0.001736329757669157,-0.022631089404252513
10,1,-3,-2,3,473,1,473,6.159095388491933,1,5,1,11,2,S_3,473.0,3,0,+_S3_real,1.3238075379301228,1826.6384778012684,7.5107799631998535,1,,,,,,,5.977005759032962,0.0013629677015224093,-0.02299424096703806
11,1,-3,-1,-3,-716,-1,716,6.573680166960646,4,8,0,2,2,S_3,-179.0,1,1,-_S3_CM,1.259909444301458,-617.8324022346369,6.4278344803445595,1,,,,,,,5.97826467903771,0.0014409809783207045,-0.02173532096229014
12,1,-3,-1,-2,-419,-1,419,6.037870919922137,3,11,1,419,1,S_3,-419.0,1,1,-_S3_CM,1.2403081114974508,-1055.7708830548927,6.962973200836589,1,,,,,,,5.968995479504335,0.005022753277109608,-0.0310045204956646
13,1,-3,-1,-1,-176,-1,176,5.170483995038151,0,8,0,2,2,S_3,-11.0,1,1,-_S3_CM,1.2187557268720124,-2513.4545454545455,7.829811178476883,1,,,,,,,5.977842596253211,0.0014186759459644841,-0.022157403746788873
14,1,-3,-1,1,148,1,148,4.997212273764115,4,4,0,2,2,S_3,37.0,3,0,+_S3_real,1.1676157469275876,2988.972972972973,8.003019627204404,1,,,,,,,5.981250394426737,0.0011967626994808858,-0.018749605573263217
15,1,-3,-1,2,229,1,229,5.43372200355424,5,1,1,229,1,S_3,229.0,3,0,+_S3_real,1.136199470089999,1931.7379912663755,7.566692924892639,1,,,,,,,5.98175582414045,0.0011501844999873819,-0.018244175859550182
16,1,-3,0,-3,-567,-1,567,6.340359303727752,7,3,1,3,2,S_3,-7.0,1,1,-_S3_CM,1.1875442270826329,-329.14285714285717,5.799525461219067,1,,,,,,,5.978829288502028,0.0024159378599424436,-0.021170711497972228
17,1,-3,0,-2,-324,-1,324,5.780743515792329,4,0,0,2,2,S_3,-1.0,1,1,-_S3_CM,1.1618447527360987,-576.0,6.3578422665081,1,,,,,,,5.988410691676072,0.002481673102467401,-0.011589308323928016
18,1,-3,0,-1,-135,-1,135,4.90527477843843,7,3,1,3,2,S_3,-15.0,1,1,-_S3_CM,1.1326282635675438,-1382.4,7.232299516166484,1,,,,,,,5.983689345505889,0.0009650886916142143,-0.016310654494111176
19,1,-3,0,1,81,1,81,4.394449154672439,1,9,1,3,1,C_3,,3,0,+_C3_real,1.0575768135749348,2304.0,7.742835955430749,1,,,,,,,5.98596632664001,0.0008734865142466703,-0.014033673359990395
20,1,-3,0,3,81,1,81,4.394449154672439,1,9,1,3,1,C_3,,3,0,+_C3_real,1.2271444934280145,2304.0,7.742835955430749,1,,,,,,,5.986951740728822,0.0007789676447761241,-0.013048259271178253
21,1,-3,1,-2,-211,-1,211,5.351858133476067,3,7,1,211,1,S_3,-211.0,1,1,-_S3_CM,1.062393985154326,-262.06635071090045,5.572406284431354,1,,,,,,,5.989123922250842,0.0006927443857482984,-0.010876077749157886
22,1,-3,1,-1,-76,-1,76,4.330733340286331,4,4,0,2,2,S_3,-19.0,1,1,-_S3_CM,1.0185918197779067,-727.578947368421,6.591095989521294,1,,,,,,,5.990433006694728,0.0008529543601082243,-0.00956699330527222
23,1,-3,1,3,-76,-1,76,4.330733340286331,4,4,0,2,2,S_3,-19.0,1,1,-_S3_CM,1.3608964958300516,-727.578947368421,6.591095989521294,1,,,,,,,5.98269516066347,0.004318673298951088,-0.017304839336530264
24,1,-3,2,-3,-239,-1,239,5.476463551931511,7,11,1,239,1,S_3,-239.0,1,1,-_S3_CM,1.0986122886681098,-28.92050209205021,3.3985439341168853,1,,,,,,,5.996049587271335,0.00020025814384551832,-0.0039504127286651425
25,1,-3,2,-2,-104,-1,104,4.6443908991413725,0,8,0,2,2,S_3,-26.0,1,1,-_S3_CM,0.9248062543986376,-66.46153846153847,4.211557634910647,1,,,,,,,5.988367772826044,0.0026249526901271376,-0.011632227173955734
26,1,-3,2,-1,-23,-1,23,3.1354942159291497,7,11,1,23,1,S_3,-23.0,1,1,-_S3_CM,0.8435987229688855,-300.5217391304348,5.708842116819782,1,,,,,,,5.996046592142761,0.001010365658973675,-0.003953407857238744
27,1,-3,2,1,-23,-1,23,3.1354942159291497,7,11,1,23,1,S_3,-23.0,1,1,-_S3_CM,1.1247982972918473,-300.5217391304348,5.708842116819782,1,,,,,,,5.982262262427124,0.0064062958758637645,-0.017737737572876
28,1,-3,2,2,-104,-1,104,4.6443908991413725,0,8,0,2,2,S_3,-26.0,1,1,-_S3_CM,1.3444238793897356,-66.46153846153847,4.211557634910647,1,,,,,,,5.995687880656372,0.0002312317862307237,-0.0043121193436279626
29,1,-3,2,3,-239,-1,239,5.476463551931511,7,11,1,239,1,S_3,-239.0,1,1,-_S3_CM,1.4965559315615122,-28.92050209205021,3.3985439341168853,1,,,,,,,5.9962078880086,0.00018444761702308157,-0.003792111991399949
30,1,-3,3,-3,-108,-1,108,4.68213122712422,4,0,0,2,2,S_3,-3.0,1,1,-_S3_CM,1.0986122886681098,0.0,0.0,1,,,,,,,5.998856243256358,6.462063329481264e-05,-0.001143756743641866
31,1,-3,3,1,-108,-1,108,4.68213122712422,4,0,0,2,2,S_3,-3.0,1,1,-_S3_CM,1.347377348329384,0.0,0.0,1,,,,,,,5.999882482212149,8.259359459283807e-06,-0.00011751778785118461
32,1,-3,3,2,-243,-1,243,5.493061443340548,3,3,1,3,1,S_3,-3.0,1,1,-_S3_CM,1.5090280981082937,0.0,0.0,1,,,,,,,6.000488781658908,7.73454999199543e-05,0.0004887816589080884
33,1,-3,3,3,-432,-1,432,6.068425588244111,0,0,0,2,2,S_3,-3.0,1,1,-_S3_CM,1.6306597579983293,0.0,0.0,1,,,,,,,6.001004306717515,0.00012398245511859002,0.0010043067175153908
34,1,-2,-3,-3,-519,-1,519,6.251903883165888,7,3,1,3,2,S_3,-519.0,1,1,-_S3_CM,1.1695964978991507,-1083.684007707129,6.989043986420502,1,,,,,,,5.97811844316336,0.0013842353806745027,-0.021881556836640392
35,1,-2,-3,-2,-244,-1,244,5.497168225293202,4,4,0,2,2,S_3,-61.0,1,1,-_S3_CM,1.1482774990825295,-2305.0491803278687,7.743291027716879,1,,,,,,,5.978607750190536,0.0013402427428201137,-0.021392249809464303
36,1,-2,-3,-1,-23,-1,23,3.1354942159291497,7,11,1,23,1,S_3,-23.0,1,1,-_S3_CM,1.1247982972918473,-24453.565217391304,10.104572193931391,1,,,,,,,5.979096738982095,0.001296310809727639,-0.02090326101790474
37,1,-2,-3,1,257,1,257,5.54907608489522,1,5,1,257,1,S_3,257.0,3,0,+_S3_real,1.2501491598607561,2188.4513618677042,7.691406271730133,1,,,,,,,5.9881623155799515,0.0005424212445601645,-0.011837684420048511
38,1,-2,-3,2,316,1,316,5.755742213586912,4,4,0,2,2,S_3,79.0,3,0,+_S3_real,1.3293157565346272,1779.8481012658228,7.484844991199741,1,,,,,,,5.980561800015522,0.0011648896255714624,-0.019438199984477933
39,1,-2,-3,3,321,1,321,5.771441123130016,1,9,1,3,2,S_3,321.0,3,0,+_S3_real,1.3718962179920675,1752.1246105919004,7.4691549665887695,1,,,,,,,5.981049519932071,0.0011212117564644933,-0.018950480067928765
40,1,-2,-2,-2,-268,-1,268,5.5909869805108565,4,4,0,2,2,S_3,-67.0,1,1,-_S3_CM,1.0714601723049326,-955.223880597015,6.86299207035935,1,,,,,,,5.983056367061467,0.0010600893494541288,-0.01694363293853307
41,1,-2,-2,-1,-83,-1,83,4.418840607796598,3,11,1,83,1,S_3,-83.0,1,1,-_S3_CM,1.0406925994403955,-3084.3373493975905,8.03441628186756,1,,,,,,,5.983541354030787,0.0010167189956673775,-0.016458645969213315
42,1,-2,-2,2,148,1,148,4.997212273764115,4,4,0,2,2,S_3,37.0,3,0,+_S3_real,1.06581768475878,1729.7297297297298,7.456298407647707,1,,,,,,,5.9849944390752565,0.0008869973166040226,-0.015005560924743477
43,1,-2,-1,-3,-439,-1,439,6.0844994130751715,7,7,1,439,1,S_3,-439.0,1,1,-_S3_CM,1.0986122886681098,-200.01822323462414,5.303395566808274,1,,,,,,,5.986973664625198,0.0008287577138746026,-0.01302633537480169
