[23:16:16] Tail-window WKB fit for 60 Q1 quartics: dps=2000, N=[50..250], N_ref=400
[23:16:20]   fam  1: A=7.996173 +/- 8.08e-05, delta=-3.8265e-03, dt=4.2s
[23:16:24]   fam  2: A=7.996174 +/- 8.07e-05, delta=-3.8260e-03, dt=3.6s
[23:16:27]   fam  3: A=7.996174 +/- 8.07e-05, delta=-3.8255e-03, dt=3.5s
[23:16:31]   fam  4: A=7.996175 +/- 8.07e-05, delta=-3.8246e-03, dt=3.8s
[23:16:34]   fam  5: A=7.996176 +/- 8.07e-05, delta=-3.8241e-03, dt=3.4s
[23:16:38]   fam  6: A=7.996176 +/- 8.06e-05, delta=-3.8236e-03, dt=3.7s
[23:16:41]   fam  7: A=7.996194 +/- 8.01e-05, delta=-3.8064e-03, dt=3.0s
[23:16:44]   fam  8: A=7.996194 +/- 8.01e-05, delta=-3.8059e-03, dt=2.7s
[23:16:47]   fam  9: A=7.996195 +/- 8.01e-05, delta=-3.8049e-03, dt=2.9s
[23:16:49]   fam 10: A=7.996196 +/- 8.00e-05, delta=-3.8044e-03, dt=2.7s
[23:16:52]   fam 11: A=7.996196 +/- 8.00e-05, delta=-3.8039e-03, dt=2.6s
[23:16:55]   fam 12: A=7.996213 +/- 7.95e-05, delta=-3.7871e-03, dt=2.8s
[23:16:58]   fam 13: A=7.996214 +/- 7.95e-05, delta=-3.7862e-03, dt=2.9s
[23:17:01]   fam 14: A=7.996215 +/- 7.95e-05, delta=-3.7853e-03, dt=3.0s
[23:17:03]   fam 15: A=7.996215 +/- 7.94e-05, delta=-3.7848e-03, dt=2.8s
[23:17:06]   fam 16: A=7.996216 +/- 7.94e-05, delta=-3.7843e-03, dt=2.8s
[23:17:09]   fam 17: A=7.996232 +/- 7.89e-05, delta=-3.7675e-03, dt=2.8s
[23:17:12]   fam 18: A=7.996233 +/- 7.89e-05, delta=-3.7671e-03, dt=2.6s
[23:17:14]   fam 19: A=7.996234 +/- 7.88e-05, delta=-3.7656e-03, dt=2.4s
[23:17:17]   fam 20: A=7.996235 +/- 7.88e-05, delta=-3.7651e-03, dt=2.5s
[23:17:19]   fam 21: A=7.996235 +/- 7.88e-05, delta=-3.7646e-03, dt=2.8s
[23:17:22]   fam 22: A=7.996252 +/- 7.83e-05, delta=-3.7479e-03, dt=2.6s
[23:17:25]   fam 23: A=7.996253 +/- 7.83e-05, delta=-3.7474e-03, dt=2.6s
[23:17:28]   fam 24: A=7.996253 +/- 7.83e-05, delta=-3.7469e-03, dt=2.9s
[23:17:30]   fam 25: A=7.996254 +/- 7.82e-05, delta=-3.7460e-03, dt=2.9s
[23:17:33]   fam 26: A=7.996255 +/- 7.82e-05, delta=-3.7455e-03, dt=2.8s
[23:17:36]   fam 27: A=7.996255 +/- 7.82e-05, delta=-3.7450e-03, dt=2.5s
[23:17:38]   fam 28: A=7.996272 +/- 7.77e-05, delta=-3.7282e-03, dt=2.5s
[23:17:41]   fam 29: A=7.996272 +/- 7.77e-05, delta=-3.7277e-03, dt=2.8s
