family_id,log_abs_j,j_invariant,A_fit_R13_free,A_stderr_R13_free,delta_R13_free,residual_mean,residual_std,residual_at_max_n,alpha_fixedA,beta_fixedA,gamma_fixedA,n_points
1,6.5732501823846485,714.692197223552,7.9961734954642205,8.076061511204598e-05,-0.0038265045357794847,3.3158661002138007e-13,0.0013185660485405674,0.0023529476882231393,7.99815063652635,1.6703361715698533,-5.8205155989872575,48
2,6.869634248929734,961.596430744271,7.9961739770681675,8.074058237660083e-05,-0.00382602293183254,4.701424434945997e-13,0.0013183969969757711,0.0023526933243829262,7.998150757455978,1.6703508867785035,-6.934396198508316,48
3,7.448575068916989,1716.4142041221753,7.996174463116837,8.072117114105952e-05,-0.0038255368831627834,5.506706202140776e-13,0.0013182266384091032,0.0023524094490312564,7.9981508780173876,1.6703655721665611,-7.436404278864512,48
4,1.057297089855711,1.8785799218617292,7.996175425801918,8.06810330422909e-05,-0.003824574198081798,1.5631940186722204e-13,0.001317888690795176,0.0023519041849340283,7.998151119919871,1.6703950060833095,-7.739384076776264,48
5,0.5986104017284751,-0.8195885456809154,7.9961759113965005,8.066155842460957e-05,-0.003824088603499476,4.488261614217966e-13,0.001317718467022779,0.0023516233284226473,7.998151240518883,1.6704096945155849,-7.680111552933532,48
6,2.5957435047917823,-12.406551492035002,7.996176397152495,8.064210658954233e-05,-0.0038236028475049366,3.919827425609886e-13,0.001317548196068177,0.002351341396661155,7.998151361104496,1.6704243818626607,-7.503553132344243,48
7,5.969274970837269,390.2219205972175,7.996193619770198,8.012742118785648e-05,-0.0038063802298022864,3.706664604881856e-13,0.0013115661209400218,0.002341410140388689,7.998157200581926,1.6712250780317381,-8.741568061310058,48
8,6.503009917413834,666.1466704130373,7.996194108126356,8.010833424903555e-05,-0.003805891873644107,3.576398436659171e-13,0.0013113950909823403,0.002341110923453016,7.998157320951231,1.67123974784433,-8.700320855736875,48
9,0.34337486811572243,-0.40969711338984055,7.996195083131644,8.006992198740582e-05,-0.0038049168683560453,4.736951571734002e-13,0.001311053534714944,0.002340523828024743,7.998157561831314,1.671269098926473,-8.385233669699153,48
10,2.961816088110304,-18.333050415888643,7.996195563716138,8.004974856467936e-05,-0.003804436283862067,5.305385760342082e-13,0.0013108847924620112,0.0023402762026307755,7.99815768284435,1.6712838208715626,-8.102897853565182,48
11,4.031205726482634,-55.328787429587905,7.996196050096169,8.003038579739101e-05,-0.0038039499038307056,4.5356311299353064e-13,0.001310714345451071,0.002339990104246681,7.998157803377314,1.6712985039372565,-7.714374623594734,48
12,5.12093279358582,166.4915318027851,7.996212854485318,7.954464395850365e-05,-0.0037871455146820665,4.950114392462032e-13,0.001304882785047203,0.002329891363160641,7.998163516627239,1.6720840548431095,-9.45616163000851,48
13,4.26089408275689,69.87332175011846,7.996213765981234,7.949734816807185e-05,-0.003786234018765988,6.276460832547551e-13,0.0013045599324151267,0.002329725817844519,7.998163762766156,1.6721138317834274,-9.10684284915625,48
14,3.8630262031156652,-46.60920872405437,7.996214736716291,7.945834244670521e-05,-0.003785263283709206,5.636972370363461e-13,0.0013042196475636656,0.00232916701565955,7.998164003997933,1.6721432113125325,-8.499057543330025,48
15,4.686040436236175,-107.42302088392424,7.9962152262292205,7.943941982869291e-05,-0.0037847737707794593,2.1316282072803006e-13,0.0013040482854587043,0.002328860091211027,7.998164124270425,1.672157873266872,-8.058879964618612,48
16,5.16062760005703,-173.2737955346651,7.996215710005579,7.941969455711781e-05,-0.0037842899944209307,4.204044519913926e-13,0.001303878612257017,0.0023285912509436457,7.998164245018102,1.6721725737042634,-7.475810330396005,48
