family_id,alpha_3,alpha_2,alpha_1,alpha_0,Delta_3,Delta_3_sign,abs_Delta_3,log_abs_Delta_3,absD_mod_8,absD_mod_12,absD_parity,smallest_prime_div,omega_Delta_3,Galois_group,splitting_field,CM_field,CM_disc,r1,r2,bin,conductor,class_number,class_number_plus,regulator,fund_unit_norm,unit_density,A_fit,A_stderr,alpha_fit,alpha_stderr,delta
1,1,-3,-3,-3,-864,-1,864,6.761572768804055,0,0,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-6})\ \text{imag.}",\mathbb{Q}(\sqrt{-6}),-6.0,1,1,-_S3_CM,,,,,,,5.9677983721296615,0.0019227305442087992,5.804702033145651,0.01088342082074631,-0.032201627870338534
2,1,-3,-3,-2,-459,-1,459,6.129050210060545,3,3,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-51})\ \text{imag.}",\mathbb{Q}(\sqrt{-51}),-51.0,1,1,-_S3_CM,,,,,,,5.972564099351623,0.002702995568521882,5.831089783653832,0.01530003168537662,-0.027435900648376865
3,1,-3,-3,-1,-108,-1,108,4.68213122712422,4,0,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-3})\ \text{imag.}",\mathbb{Q}(\sqrt{-3}),-3.0,1,1,-_S3_CM,,,,,,,5.969660394186659,0.0018412895679668709,5.815416173320891,0.010422432452322569,-0.030339605813341386
4,1,-3,-3,2,621,1,621,6.431331081933479,5,9,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{69})\ \text{real}",\mathbb{Q}(\sqrt{69}),69.0,3,0,+_S3_real,,,,,,,5.9719021753974575,0.0017731948582030968,5.828463151538973,0.010036989268794894,-0.02809782460254251
5,1,-3,-3,3,756,1,756,6.628041376179533,4,0,0,2,3,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{21})\ \text{real}",\mathbb{Q}(\sqrt{21}),21.0,3,0,+_S3_real,,,,,,,5.9715309631845725,0.001645224347499036,5.82667786942166,0.009312625199771779,-0.02846903681542745
6,1,-3,-2,-3,-823,-1,823,6.71295620067707,7,7,1,823,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-823})\ \text{imag.}",\mathbb{Q}(\sqrt{-823}),-823.0,1,1,-_S3_CM,,,,,,,5.953632089052144,0.009841127537179244,5.729996449702911,0.05570470218011231,-0.04636791094785586
7,1,-3,-2,-2,-472,-1,472,6.156978985585555,0,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-118})\ \text{imag.}",\mathbb{Q}(\sqrt{-118}),-118.0,1,1,-_S3_CM,,,,,,,5.968840417852577,0.0028905985769363605,5.8136524415149395,0.01636193944669164,-0.031159582147423315
8,1,-3,-2,-1,-175,-1,175,5.1647859739235145,7,7,1,5,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-7})\ \text{imag.}",\mathbb{Q}(\sqrt{-7}),-7.0,1,1,-_S3_CM,,,,,,,5.969506567224815,0.002813616757118991,5.817555086148205,0.01592619167998413,-0.030493432775185347
9,1,-3,-2,1,257,1,257,5.54907608489522,1,5,1,257,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{257})\ \text{real}",\mathbb{Q}(\sqrt{257}),257.0,3,0,+_S3_real,,,,,,,5.9773689105957475,0.001736329757669157,5.861172491159938,0.009828318114160958,-0.022631089404252513
10,1,-3,-2,3,473,1,473,6.159095388491933,1,5,1,11,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{473})\ \text{real}",\mathbb{Q}(\sqrt{473}),473.0,3,0,+_S3_real,,,,,,,5.977005759032962,0.0013629677015224093,5.859678541961076,0.007714940143553915,-0.02299424096703806
