n,a_n
0,1.0
1,0.6374909222302117816455184451375780239442269336940984256038734021593920131678222358701440826259317674361679548265038559763083825696871144540070676537569569678610343145195985822889073990649825539648128181357930079574730068922613159545337320310766215137
2,0.4792390046296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296
3,0.7093200805668464922454916680992023756268585372063631726227672094165717540674135139854242960762528239958148326746572686334266703053502217529502256572460588304577722906618278947635450247054840991298523389365190409543919202941402512173415453538861311628
4,1.126493980746101341020804755372656607224508459076360310928212162780064014631915866483767718335619570187471422039323273891175125743026977594878829446730681298582533150434385002286236854138088705989940557841792409693644261545496113397347965249199817101
5,2.150108500073104047317835587085988844922921869527391451989229891391454129580703172243005286123635116379749356898821098385962620432069161996812553530815359525337234878549934575166676478666785442087423753983909511803747521761518016068206426783511765237
6,4.951821586567658549312776810404988512365436614788847680175221708524558699836858654112121571350347451551536294715688100842802869932880601985921297001924954980891575922821159827713706695569216526387689320169125076913523796620885479291210124924497733521
7,13.40908456877937429696264742121230637364826202897714645272452093658152263561804902127751224769028008354665982583002583383024031076589661636796560325566420380889892091112017408139084381632832245744067025164603686896969457222364731782254125622688974196
8,41.86781949936372225149185017551976171249238751749025702296150003421365623378640816136229549948100078782506370893416680249084975103479509424854251467177455198703088873399406459520376211034252096195002368970880997615856236098182052671826701305044150252
9,148.3176356378642081805200582651207839182548325285177240540700095924359193704932815648206664273837291851918767221242519351040980951443680843296418073554777821043588131206611970047103279319869280534918030095085969253418519575591728265925264495696354254
10,588.2400698034714733287906266963542660581225656888836935759364967155265515040699775444147727462872418977205680936262413072226298186064087861811316752286588293377288989753874129155582068104719946192377971792715136348673500086263906300280267068585277538
11,2583.442410909608742767873319203317319120929242002946038767326137053150036885141861015938336273463477009096205631359367763930720300324790213444132206335858531070437199963399577497518483306326585912007980966284158128861721972010600394938149399604712966
12,12449.67652316681483496156135143652898448415311536775005210526112517385257654193485078544725225185408877735772483745173210007144257614709917275440884366769314251044137330846114364043151519105355690160349552308326876677367585738493068360981235127421833
13,65327.04577629562910795383596731427380096974102014847982434719389684292345007684643504719840075296856579051596160431788638170610540379500418267084971731001277000830630202209702065277696206776576903967281481569578238590754953377596304422685503048933813
