family_id,alpha_3,alpha_2,alpha_1,alpha_0,j_invariant,log_abs_j,tau_re,tau_im,branch,newton_iters,newton_residual,j_csv_vs_recomputed_relerr,abs_E4,log_abs_E4,abs_E6,log_abs_E6,abs_Delta,log_abs_Delta_petersson_w6,log_abs_Delta_petersson_w12,log_eta_norm,log_imtau,log_abs_E4_cube,log_abs_j_minus_1728,delta_R11_free,A_stderr_R11,delta_R13_free,A_stderr_R13,alpha_fixedA_R13,beta_fixedA_R13,gamma_fixedA_R13
1,1,-3,-3,-3,-1728.0,7.455298485683291,0.5,1.2383022540582984,vertical_half,7,9.032333614381486e-170,6.781181510980673e-16,0.9001020472605163,-0.1052471362404972,1.2076820798214691,0.18870288591922696,0.0004220185202320341,-6.488013608954927,-12.976027217909854,-0.21689857749268177,0.21374129152176083,-0.3157414087214916,8.147867129923947,-0.032201627870338534,0.0019227305442087992,-0.002716538233807242,5.847156108641552e-05,5.998699789270159,-0.2680643528116248,-5.519924641485838
2,1,-3,-3,-2,-3252.705882352941,8.087549897201235,0.5,1.3179646429786869,vertical_half,6,6.638983560069821e-127,1.962785108956217e-15,0.939351324192557,-0.06256572257955074,1.126588020145891,0.11919361378612428,0.00025482343208281473,-6.6184080191316585,-13.236816038263317,-0.20674484843404814,0.27608860945241714,-0.18769716773865225,8.513326903418411,-0.027435900648376865,0.002702995568521882,-0.0027007359970330214,5.827947564596411e-05,5.998704047958758,-0.2673798848808677,-6.475672077876115
3,1,-3,-3,-1,-13824.0,9.534233826390535,0.5,1.5256052640973923,vertical_half,6,1.6708465462350487e-162,1.3221105136907479e-15,0.9835205326815705,-0.016616764216326324,1.0345498157884876,0.03396637150370224,6.882030101260256e-05,-7.049664428846708,-14.099328857693417,-0.1881382114166918,0.4223912258076843,-0.04985029264897897,9.65194452670022,-0.030339605813341386,0.0018412895679668709,-0.002689785280503898,5.7521763232449294e-05,5.9987087865297175,-0.2666512470323219,-6.753257173140266
4,1,-3,-3,2,2404.1739130434785,7.785377493041186,0.0,1.1661699088885702,imag,7,7.396652587506776e-139,0.0,1.1587044270320195,0.14730250770230044,0.6614625563553699,-0.4133019011783027,0.0006470712711923968,-6.420705332503377,-12.841410665006753,-0.22909818966162818,0.15372479677071665,0.4419075231069013,6.516450310771071,-0.02809782460254251,0.0017731948582030968,-0.0026467937131577912,5.642377713985204e-05,5.998721999048089,-0.2645576772634771,-5.81709986779745
5,1,-3,-3,3,1974.857142857143,7.5887575795693945,0.0,1.1018085698995737,imag,8,4.0025671391325775e-165,2.3026847918151394e-16,1.2385024853273092,0.2139029766689692,0.48730439707208184,-0.7188663058364652,0.0009619554559262153,-6.364824507284173,-12.729649014568347,-0.24096277510778047,0.0969529841162404,0.6417089300069077,5.508809800308688,-0.02846903681542745,0.001645224347499036,-0.0026336986882027347,5.591480792566825e-05,5.998726525371192,-0.2638485789727766,-4.912871704387033
6,1,-3,-2,-3,-1049.8177399756987,6.9573239400210865,0.5,1.1823810752718422,vertical_half,7,3.9428681061360033e-150,8.857748011757185e-16,0.8582695531238362,-0.15283706435350589,1.2933929203173884,0.25726893631612335,0.0006022228248645922,-6.409701445779121,-12.819402891558243,-0.22518832714119175,0.1675302657317531,-0.4585111930605177,7.929420912801887,-0.04636791094785586,0.009841127537179244,-0.0022828165998420857,4.9440715208685164e-05,5.9989065877435666,-0.22535896393668597,-8.305183970637444
7,1,-3,-2,-2,-1830.5084745762713,7.512895209331435,0.5,1.245179152699242,vertical_half,7,3.6528902484065254e-172,4.0648026739780386e-16,0.9043113623307896,-0.10058155053437828,1.1990163678671628,0.18150152721755633,0.0004040007943453192,-6.498417209915105,-12.99683441983021,-0.21594752941776824,0.21927941731477787,-0.30174465160313485,8.177096768238885,-0.031159582147423315,0.0028905985769363605,-0.0022784634339005905,4.803553519139483e-05,5.998911977025801,-0.2245704862144562,-8.055948046679624
8,1,-3,-2,-1,-4937.142857142857,8.504744599649243,0.5,1.3749189020738257,vertical_half,6,1.1189231223158853e-136,1.6637697022483264e-15,0.9575668547598615,-0.04335973816128191,1.0887308814986654,0.085012688983246,0.00017784088919543074,-6.724252793931429,-13.448505587862858,-0.20057851247984715,0.31839474906918286,-0.13007921448384574,8.804646666313017,-0.030493432775185347,0.002813616757118991,-0.002256832497828043,4.839771122551223e-05,5.998915657148048,-0.223939328759434,-7.645386366888191
9,1,-3,-2,1,3361.8677042801555,8.120549372364094,0.0,1.2475653817230126,imag,7,3.0242429163989687e-170,1.3526628377062647e-16,1.094940983582826,0.09070046554461624,0.7987377345422869,-0.22472262922389746,0.00039047345566012347,-6.520986821443257,-13.041973642886514,-0.21640929485955795,0.22119395746897777,0.2721013966338487,7.39870530780933,-0.022631089404252513,0.001736329757669157,-0.0022299925245592433,4.7458654093044646e-05,5.998924641757746,-0.22252750173271563,-6.2259875080738745
10,1,-3,-2,3,1826.6384778012684,7.5107799631998535,0.0,1.0642880498092355,imag,8,1.407811056332924e-128,1.2447656074612127e-16,1.302619936460036,0.26437757214127455,0.3454804375759284,-1.0628192579970197,0.001210042322308831,-6.34326347615817,-12.68652695231634,-0.24872612539357933,0.062306077785377716,0.7931327164238237,4.591461426876396,-0.02299424096703806,0.0013629677015224093,-0.0022021990158815896,4.6629426671111484e-05,5.998933531911603,-0.22112437210804858,-3.2479331840549936
