family_id	N_max	n_points	A_lin	A_exp	delta_lin	delta_exp
30	1000	6	6.00000003264511832742669134668	5.99999883066412441199561709311	0.0000000326451183274266913466791089373	-0.00000116933587558800438290689305214
30	1100	6	6.00000002173360962384385394313	5.99999910610472404385522038138	0.0000000217336096238438539431306368723	-0.000000893895275956144779618616401748
30	1200	7	6.00000001924903459129865250038	5.99999917867849766683258172496	0.0000000192490345912986525003769449252	-0.000000821321502333167418275039602092
31	1000	6	5.99999996735022468304240579279	5.99999888201970225905151634218	-0.0000000326497753169575942072086445908	-0.00000111798029774094848365781711447
31	1100	6	5.99999997826369672370932795987	5.99999914044570156758520192239	-0.000000021736303276290672040134739916	-0.000000859554298432414798077611798862
31	1200	7	5.99999998074866038011343508633	5.99999920909291422067609069026	-0.0000000192513396198865649136678574897	-0.000000790907085779323909309739931882
32	1000	6	5.99999995102650372318305892152	5.99999889485859695748334595168	-0.0000000489734962768169410784774740988	-0.00000110514140304251665404831512539
32	1100	6	5.99999996739621956042272854824	5.99999914903094605198501706772	-0.0000000326037804395772714517580133407	-0.00000085096905394801498293227766048
32	1200	7	5.99999997112356768278218532023	5.99999921669651844247793592379	-0.0000000288764323172178146797691170306	-0.00000078330348155752206407620618484
33	1000	6	5.9999999347027837438183473842	5.99999890769749175058230568243	-0.0000000652972162561816526158013730686	-0.00000109230250824941769431756650082
33	1100	6	5.99999995652874282183492695435	5.99999915761619057777175681791	-0.0000000434712571781650730456526478835	-0.000000842383809422228243182092638559
33	1200	7	5.99999996149847532763694611462	5.99999922430012269761616587885	-0.0000000385015246723630538853847150107	-0.000000775699877302383834121146538754
