rep_id,side,A_pred,alpha,beta,gamma,delta,epsilon,Delta_b,dps,N,c,rho,zeta_star,beta_m1,beta_m2,beta_m3,beta_R,beta_agreement_digits,C_tail,C_lsq,C_agreement_digits,S1_real,S1_imag,S1_str,ladder_agreement_with_prev
V_quad,neg,3,3,1,1,0,1,-11,100,800,1.15470053837925152901829756100391491129520350254025375203720465296795534460586669138743079117149905,-1.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.309401076758503058036595122007829822590407005080507504074409305935910689211733382774861582342998101,-0.00000000000000000007377876692856183898078403502755798202279790083313332060614419787249191143141591892340975544277775363,0.0000000000000002169634831835171221408080476394705029624219639477937800500133140144321144622211863351940798788084663,0.0000000000006169833126247446299775654945774940247975884793388937161144944528135423782596908471149486235936710892,0.0000000000000002169634831835171221408080476394705029624219639477937800500133140144321144622211863351940798788084663,12.20972653011655,8.127336795495053071571252158177104870680696311637816310562291416568020075255740196267585033660418899,8.127336795495054151416698676195603475856031210861541703906448953235145147453568161376778628867069393,15.876586655922617,0.0,51.06556313995454,(0.0 + 51.065563139954541032369917404646531361211332760878j),
V_quad,neg,3,3,1,1,0,1,-11,150,1200,1.15470053837925152901829756100391491129520350254025375203720465296795534460586669138743079117149905045041742761027113535331329672999930165254110367473,-1.83333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.30940107675850305803659512200782982259040700508050750407440930593591068921173338277486158234299810090083485522054227070662659345999860330508220734946,1.33660442321477987395182657348983166115811396783880956905271279403664725447139568609112634381673572325957781956212040587702256933996177340804986028984e-62,-9.17340496767223557756679164870440884659916374642681746036883699284111458734422176835542927973083493177004274029562520869701206663136998663823873042174e-61,-4.05604254051466864363404288872224105961132510643028697211713564108671493664704946612610501797447625740957924564296077170991694876030411919341040140634e-55,-9.17340496767223557756679164870440884659916374642681746036883699284111458734422176835542927973083493177004274029562520869701206663136998663823873042174e-61,54.391897484379534,8.12733679549507236711257873202358318226454272233879344296286408044002597259264247038952872631231253033207215794601323172479963385960403710974022866406,8.12733679549507236711257873202358318226454272233879344296285947201162125232196461001725137742279313928303572299882260852570652152530096612147659824244,60.246395412419,0.0,51.06556313995466,(0.0 + 51.06556313995466226983167460994566156792041030331j),14.624491290228788
V_quad,neg,3,3,1,1,0,1,-11,200,1600,1.15470053837925152901829756100391491129520350254025375203720465296795534460586669138743079117149905045041742761027113535331329672999930165254110367472958243235206215460153705471198321340072311661551,-1.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.30940107675850305803659512200782982259040700508050750407440930593591068921173338277486158234299810090083485522054227070662659345999860330508220734945916486470412430920307410942396642680144623323102,7.5874285078722085397787186507741779410149225187670753980797769688934512754216537069617325880593960599562349923479879437174061880848182960188598081388019146514129249310414608829516006929661546343499379e-88,5.1024049453743959532332172107910784147041705460184342094214251593042139342961411103050869108080264316859314343549033774750891899684159529308059590245204526604546298741589766371495679890833852914882109e-87,5.1024049453727499735275521866694944212364053774585290692877231374435677064473603545596281191652549843354797374561217635074482836593579217748358200312759121856308520765233026830724281052285256796622683e-87,5.1024049453727499735275521866694944212364053774585290692877231374435677064473603545596281191652549843354797374561217635074482836593579217748358200312759121856308520765233026830724281052285256796622683e-87,86.36214396706656,8.1273367954950723671125787320235831822645427223387934429627794228649422311709626844487226344012596571015010873370535804007402735200500057436652331994156643223473290629809576205962482207514849368109687,8.1273367954950723671125787320235831822645427223387934429627794228649422312688128990319388696962207794771980103113839374426995082939674488955594468304551334809393285792724079203784318747590368694398898,73.91938647482473,0.0,51.06556313995466,(0.0 + 51.06556313995466226983167460994566156792041030331j),58.982282432753756
V_quad,neg,3,3,1,1,0,1,-11,250,2000,1.154700538379251529018297561003914911295203502540253752037204652967955344605866691387430791171499050450417427610271135353313296729999301652541103674729582432352062154601537054711983213400723116615510010208228844602215257767114836445947891980818031421,-1.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.309401076758503058036595122007829822590407005080507504074409305935910689211733382774861582342998100900834855220542270706626593459998603305082207349459164864704124309203074109423966426801446233231020020416457689204430515534229672891895783961636062842,6.801726336947708042428814927586701789616044264032207604418298320012764788461559119630151595641662086760316714050394573132012158860947694318316378763696962867112604876474265698952006958806993079848871573959032284150572823993923244706930880087874790257e-92,4.568858352054975624529024864687169153666498393978336784474324067329003222870956867598557017675722920771295601973769440057969654096790283172931674876364191127988489136424402947242481881560141309759431195228550424724375446049774243003773467991251889856e-91,4.568858352054975624529024864687169153666498393978336781003583369794908950059053115052841013529406091495601337164429096388148758951989615927211851123484117703929746143047140261927938959783101359449388280257914232415824410803921186449628553109593589584e-91,4.568858352054975624529024864687169153666498393978336784474324067329003222870956867598557017675722920771295601973769440057969654096790283172931674876364191127988489136424402947242481881560141309759431195228550424724375446049774243003773467991251889856e-91,90.41019715489763,8.127336795495072367112578732023583182264542722338793442962779422864942231170962684449206390370923603931158756852865065784072414663253902742567926935481794390745796066567101731679217328977657542160019534526167386317117972520945078879227255026918090689,8.127336795495072367112578732023583182264542722338793442962779422864942231171056076117635195774867502718571283436669154261669956008211726150172408349664317760405337451710611039237922706167338222694407220693516493551035711295790444955574460184903767642,76.93964012313705,0.0,51.06556313995466,(0.0 + 51.06556313995466226983167460994566156792041030331j),85.22532191985994
QL15,neg,3,3,-2,2,1,0,-20,100,800,1.15470053837925152901829756100391491129520350254025375203720465296795534460586669138743079117149905,-0.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.309401076758503058036595122007829822590407005080507504074409305935910689211733382774861582342998101,-0.000000000000000000244996945398997413218018459343498516195983218417371743559926968707256422144120162279181273040631244,-0.000000000000000006225163797493694013962640363534103503681352427199315091966538652311976382896659667930617959946016206,-0.0000000000005741117132444184778328561091229990915283744153620938276228700890050904746045547084326061714729842424,-0.000000000000000006225163797493694013962640363534103503681352427199315091966538652311976382896659667930617959946016206,12.241003777732887,21.38412649463506671496857658669608262451332366854609573376849270264968147848486262514146853678909257,21.38412649463506663343629530211626347781417888871801830636784552812883748342756292363668495122585212,17.41876192064671,0.0,134.36042939796076,(0.0 + 134.36042939796076544975151117350878843420370338596j),
QL15,neg,3,3,-2,2,1,0,-20,150,1200,1.15470053837925152901829756100391491129520350254025375203720465296795534460586669138743079117149905045041742761027113535331329672999930165254110367473,-0.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.30940107675850305803659512200782982259040700508050750407440930593591068921173338277486158234299810090083485522054227070662659345999860330508220734946,-1.73557384525383923574796855258207973014279530621033885150678495130436236865920450841712744506310510893568271166769005108141004692994149402936290580683e-62,-1.31952520932800668522519904418656941612839288545517809989938949464262261911557319686441800235971484086167565566821728400237789034064502078063484749201e-59,-2.19547537297666958123716456855567486503390647757429426659912450638370633945251187408558558572127423293323547089944208846886932515980562807469619841535e-55,-1.31952520932800668522519904418656941612839288545517809989938949464262261911557319686441800235971484086167565566821728400237789034064502078063484749201e-59,54.65847146441985,21.3841264946350652582843845362556166291136059966037712930321980635135699069201625738417227894799100692805511493720096079084085124947903437150246473419,21.3841264946350652582843845362556166291136059966037712930320236496402021752889430895391382676793056202319027044662610557505931678159387220115554721123,59.08851048779145,0.0,134.36042939796076,(0.0 + 134.36042939796075629713479848141426757057864422178j),16.166726107476855
QL15,neg,3,3,-2,2,1,0,-20,200,1600,1.15470053837925152901829756100391491129520350254025375203720465296795534460586669138743079117149905045041742761027113535331329672999930165254110367472958243235206215460153705471198321340072311661551,-0.83333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.30940107675850305803659512200782982259040700508050750407440930593591068921173338277486158234299810090083485522054227070662659345999860330508220734945916486470412430920307410942396642680144623323102,-1.1214705276306379493346095193518800767940481135455849799017072156888202451263357502851394888321010075064202513446188771632627369317227236218437468951658429211358172877110101873761965317435503434859731e-86,-9.5816096451256809793398159474704756676126052167282870960351284852409813463944755445070343980452797289408203875067055194687979074770034437377771225523810816288764864630559588146039480210451154813829546e-86,-9.5816096451256051340072012222203472056140317052099465775553821947079228484075809273226550754348371081288239058100065160781352910184204730913837102052486487624570777030990972912209026174363302747667581e-86,-9.5816096451256051340072012222203472056140317052099465775553821947079228484075809273226550754348371081288239058100065160781352910184204730913837102052486487624570777030990972912209026174363302747667581e-86,85.07262249541681,21.384126494635065258284384536255616629113605996603771293028994048212916127622291789986658160339744996114128821756794670454261497990809895348918324060529026006079746172899964712724170674744563557058325,21.38412649463506525828438453625561662911360599660377129302899404821291609594649872103437213618768768338807176020771185259065625181759531382476910779259687349580360664079732113089360943157833999401642,71.82936401760918,0.0,134.36042939796076,(0.0 + 134.36042939796075629713479848141426757057864422178j),57.824396933386794
QL15,neg,3,3,-2,2,1,0,-20,250,2000,1.154700538379251529018297561003914911295203502540253752037204652967955344605866691387430791171499050450417427610271135353313296729999301652541103674729582432352062154601537054711983213400723116615510010208228844602215257767114836445947891980818031421,-0.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2.309401076758503058036595122007829822590407005080507504074409305935910689211733382774861582342998100900834855220542270706626593459998603305082207349459164864704124309203074109423966426801446233231020020416457689204430515534229672891895783961636062842,-9.966647306603343190094035949018559321664663732450913786631397415054827045501614833923741955312145438768612869180221713165420200882409400339932522712258544466927652683242321575744890219358650825301203055800350706160655613772791815899272971752180269216e-91,-8.525086969902661823087047713174472774952671169604705615566458603434637215284346607599022689688632021132982905797694458297225713813353211369872823242655855324083726327197506664173341028062474675760204034689050900537703217390062055628731756658851819566e-90,-8.525086969902661823087047713174472774952671169604705615460172961106306234608672097197454603179175756499418683180782351616539813699907620706548842434057576019932428508341167236383162460580172317823282194416458746561675045736521633884198389947517906991e-90,-8.525086969902661823087047713174472774952671169604705615460172961106306234608672097197454603179175756499418683180782351616539813699907620706548842434057576019932428508341167236383162460580172317823282194416458746561675045736521633884198389947517906991e-90,89.1232960310486,21.38412649463506525828438453625561662911360599660377129302899404821291612762229178996277465329905352827765318034598738902545364137156159132678433794122906730428458395577445459953723820987072056751775449570975773359944949273535940293983021134313306734,21.38412649463506525828438453625561662911360599660377129302899404821291612759222651234507176322577954256467701245475395504318785048477789151314667012371246136188715200960909601491828384114967686618190876622812447165844414108172069381735943539142690275,74.85202629635877,0.0,134.36042939796076,(0.0 + 134.36042939796075629713479848141426757057864422178j),83.95199341606437
QL05,pos,4,1,-2,-1,1,2,8,100,800,2.0,0.5,4.0,0.00000000000000000005460888994722688859323914711526428350644059724408839972324561860697233483997435750264429630995657985,0.00000000000000001800875426199580034292411029923555876328258067616413201200925382724158166125034529502827865085247572,0.0000000000001387556012050924956904245704456411530724256104303655477882933112981876463015280693244662124998597285,0.00000000000000001800875426199580034292411029923555876328258067616413201200925382724158166125034529502827865085247572,12.857749647427068,1.403280807252964703404570201834939668648173468839235401834793887926701702057310923600476547266365299,1.403280807252964718874189448439512206603086059981839851941896081796253974795070895404769576149153676,16.957664960831252,0.0,8.817073349978937,(0.0 + 8.8170733499789371129326407011735364503806331643838j),
QL05,pos,4,1,-2,-1,1,2,8,150,1200,2.0,0.5,4.0,6.26703232955231397971333107268618190946881147172642609465958010366108033124243988037812719162410625480721363417915821094851565899958956722422206688444e-62,-7.2809620387874688590590788302077674532346701282011236941763471098797840671307084093922666596389004615761170003838150987661113376489053922357952653771e-59,1.04005825601784975939855286370800240900146807468068305255443486154077077819381199892161397813318264432700923122012850717246629019465846255168726272414e-55,6.26703232955231397971333107268618190946881147172642609465958010366108033124243988037812719162410625480721363417915821094851565899958956722422206688444e-62,54.98263841129049,1.40328080725296497994724250152093112017966978359392797141203347316042160947383930356931548953483269619099084844226598692975352544848053953783123357828,1.40328080725296497994724250152093112017966978359392797141203335397323899588668723093899451837462757953176482842020799115223049899709313143281636008443,61.07091503148331,0.0,8.817073349978939,(0.0 + 8.817073349978938850501496102739782890175631636085j),15.705382430159151
