n,T_n_data,T_n_lead_pred,r1_n
800,21.3181158460948912548607466355,21.3181158460948912548607466355,-1.79175e-78
850,21.3219948344245992548984490932,21.3219948344245992548984490932,6.1680545e-79
900,21.3254432420089157847386788422,21.3254432420089157847386788422,4.3987715e-80
950,21.3285289928817893698402503639,21.3285289928817893698402503639,5.5738373e-79
1000,21.3313064381045456868494462395,21.3313064381045456868494462395,-5.3383057e-79
1050,21.3338195847472466559880899806,21.3338195847472466559880899806,6.7462045e-80
1100,21.3361044449349738958084078012,21.3361044449349738958084078012,-2.4336379e-79
1150,21.3381907725630130459787811433,21.3381907725630130459787811433,4.5979227e-79
1200,21.3401033661481303959134458129,21.3401033661481303959134458129,-2.4708521e-79
1250,21.3418630592133186223176820031,21.3418630592133186223176820031,-4.0754624e-79
1300,21.3434874822753191004749093653,21.3434874822753191004749093653,-7.5337452e-79
1350,21.3449916556108446949043632096,21.3449916556108446949043632096,7.197154e-79
1400,21.3463884550805227891489402483,21.3463884550805227891489402483,3.0886527e-79
1450,21.3476889816333979148245799444,21.3476889816333979148245799444,1.7518221e-79
1500,21.348902856953480288123622243,21.348902856953480288123622243,-1.398605e-79
1550,21.3500384619165691514310219076,21.3500384619165691514310219076,5.7621269e-79
1600,21.3511031303607901635190644136,21.3511031303607901635190644136,-1.7699239e-79
1650,21.3521033076447491322486043055,21.3521033076447491322486043055,-2.8553439e-79
1700,21.3530446812391930995242903425,21.3530446812391930995242903425,6.0894655e-79
1750,21.3539322889426906751298896024,21.3539322889426906751298896024,-5.7230131e-79
1800,21.3547706090701089753369576098,21.3547706090701089753369576098,5.085796e-79
1850,21.3555636360228313183779131212,21.3555636360228313183779131212,-2.6116934e-79
1900,21.3563149439323166427762795354,21.3563149439323166427762795354,-1.3379306e-78
