n,T_n_data,T_n_lead_pred,r1_n
800,8.11239395989485516240890376065,8.11239395989485516240890376065,1.0341065e-80
850,8.11327219265519139303413954199,8.11327219265519139303413954199,-2.7363825e-80
900,8.11405292328625894374355203999,8.11405292328625894374355203999,1.2600543e-80
950,8.11475153503049286289802357321,8.11475153503049286289802357321,5.4897185e-80
1000,8.11538033672428214160458587376,8.11538033672428214160458587376,-2.4836631e-80
1050,8.1159492942920816153308908808,8.1159492942920816153308908808,6.9230467e-80
1100,8.11646656287391335345093588021,8.11646656287391335345093588021,5.786753e-81
1150,8.11693888022476845757083190792,8.11693888022476845757083190792,3.0034958e-79
1200,8.11737186182378797111274634043,8.11737186182378797111274634043,-2.8935056e-80
1250,8.11777022519848723196552632389,8.11777022519848723196552632389,-1.1058907e-79
1300,8.11813796251085393388139019112,8.11813796251085393388139019112,-9.2628163e-81
1350,8.11847847481168043584384402439,8.11847847481168043584384402439,7.4741102e-80
1400,8.11879467754109002424172053303,8.11879467754109002424172053303,-6.0120215e-80
1450,8.11908908421234573038867221672,8.11908908421234573038867221672,-1.3109554e-80
1500,8.11936387336703699614998493172,8.11936387336703699614998493172,-2.3284965e-79
1550,8.11962094257729905788498170863,8.11962094257729905788498170863,-1.0953026e-79
1600,8.11986195232723566583181667409,8.11986195232723566583181667409,-1.9593466e-80
1650,8.12008836191943197851756883728,8.12008836191943197851756883728,-6.4056114e-80
1700,8.12030145904774630042902303029,8.12030145904774630042902303029,-1.1293088e-79
1750,8.12050238430259671320325369776,8.12050238430259671320325369776,3.1678068e-80
1800,8.12069215159369126751185571819,8.12069215159369126751185571819,8.3190148e-80
1850,8.1208716652622724740418681053,8.1208716652622724740418681053,2.1146572e-79
1900,8.12104173449246802589227456192,8.12104173449246802589227456192,-2.9870546e-80
