n,r_n_data,r_n_next_pred,r2_n
40,-1.61111846639783498093525547533e-18,-1.6111185083095382123347334149e-18,4.1911703e-26
41,-8.13945020046821518971629009623e-19,-8.1394450024951994864956147078e-19,-5.197973e-25
42,-4.17976549356525710241040724898e-19,-4.17979015758786359388463545575e-19,2.4664023e-24
43,-2.1799853105345432424339053898e-19,-2.17993333324076043642663278574e-19,-5.1977294e-24
44,-1.15393141722156385064672185585e-19,-1.15396366203939693940309844378e-19,3.2244818e-24
45,-6.19488667292578707622056673483e-20,-6.19524293486242430454907596053e-20,3.5626194e-24
46,-3.37082357206442177694945603604e-20,-3.37064016685384169975426757195e-20,-1.8340521e-24
47,-1.85792737428053759805487744393e-20,-1.85749457404942756728962301626e-20,-4.3280023e-24
48,-1.03673818876579864016512078855e-20,-1.03651891335868133572738044359e-20,-2.1927541e-24
49,-5.85369533260089028454569434127e-21,-5.85530314692133144153624208142e-21,1.6078143e-24
50,-3.34271173985164232950159125606e-21,-3.3468120687601652017700665585e-21,4.1003289e-24
51,-1.9296371588446050601378945689e-21,-1.93384078577417565685395958479e-21,4.2036269e-24
52,-1.12556963919159486810304107495e-21,-1.12796710812192049336090645242e-21,2.3974689e-24
53,-6.63150601151119714743399092517e-22,-6.62906984593209733606269177413e-22,-2.4361656e-25
54,-3.94483018156742072438812066762e-22,-3.91719203081269418597142920495e-22,-2.7638151e-24
55,-2.36844594976237334714816946537e-22,-2.32235869711475264661918198212e-22,-4.6087253e-24
56,-1.43472627899673745424939349729e-22,-1.378602171482402103856274121e-22,-5.6124108e-24
57,-8.76606136490232138374661542088e-23,-8.17966460666896610548299333791e-23,-5.8639676e-24
58,-5.40053535634026118070742812963e-23,-4.84377870174949899215674630297e-23,-5.5675665e-24
59,-3.35382138868806852593907480349e-23,-2.85948823067263655768491009964e-23,-4.9433316e-24
60,-2.09891238970317718650678456892e-23,-1.68142737839770077715715330118e-23,-4.1748501e-24
61,-1.32338580669564107526220837416e-23,-9.84225674912220382617852046373e-24,-3.3916013e-24
62,-8.40443623898036753524766560205e-24,-5.73284222635158154312220049827e-24,-2.671594e-24
63,-5.37474807694672141236246812311e-24,-3.32206470523691215905588940004e-24,-2.0526834e-24
64,-3.46048887057755502436351241189e-24,-1.91499874276722829015175825743e-24,-1.5454901e-24
65,-2.24260949471067720599006749252e-24,-1.09812598023987832041710592474e-24,-1.1444835e-24
66,-1.46257482633997280811990013928e-24,-6.2645548507156885129921405717e-25,-8.3611934e-25
67,-9.59723719739664317719882414512e-25,-3.5557811415186120513457824819e-25,-6.0414561e-25
68,-6.33515651872378742206030904926e-25,-2.00841474099170501178593377391e-25,-4.3267418e-25
69,-4.20604918703027313402899809429e-25,-1.12907144950704619288964084144e-25,-3.0769777e-25
70,-2.80817070423351653607109634305e-25,-6.31859579433434810945611185443e-26,-2.1763111e-25
71,-1.88509958048283889272101756821e-25,-3.52074752814993740177818855058e-26,-1.5330248e-25
72,-1.27215260842414134827421338005e-25,-1.95365960639556994024796126672e-26,-1.0767866e-25
73,-8.6292605705560772105725001154e-26,-1.07980717150662366758442859416e-26,-7.5494534e-26
74,-5.88268270299932662164868857765e-26,-5.94577454425391448152425934428e-27,-5.2881052e-26
75,-4.02981668124575444082604709178e-26,-3.2622298805459758299318599475e-27,-3.7035937e-26
76,-2.77361474150052003278028496509e-26,-1.78377663630144099119377783661e-27,-2.5952371e-26
77,-1.91779946563687247280653306858e-26,-9.72206952572469029118784286752e-28,-1.8205788e-26
78,-1.33199882800831405059209293294e-26,-5.2824867006844344533494372236e-28,-1.279174e-26
79,-9.29174988206390244284271751674e-27,-2.8618387017136784587472585556e-28,-9.005566e-27
80,-6.50931908652227052932039068819e-27,-1.54611256230902668140001909061e-28,-6.3547078e-27
81,-4.57900583772318245655121898233e-27,-8.33076889416701414632436664455e-29,-4.4956981e-27
82,-3.23414413165206099880489442959e-27,-4.47746961734488371686979958197e-29,-3.1893694e-27
83,-2.29327794846058688090222936017e-27,-2.4006908899745522903785683032e-29,-2.269271e-27
84,-1.63238037602207778377439667033e-27,-1.28423756673279895174657118368e-29,-1.619538e-27
85,-1.16630753367323062439499711085e-27,-6.8549881427647105806494096645e-30,-1.1594525e-27
86,-8.36359464045253632375007664617e-28,-3.65144100531477251552643463422e-30,-8.3270802e-28
87,-6.01898899056853141457468595826e-28,-1.94115242036188696076010053671e-30,-5.9995775e-28
88,-4.3467894398966675685286295309e-28,-1.02998743708033557184143839248e-30,-4.3364896e-28
89,-3.14987401888126519606224033789e-28,-5.45529343561774734201997675152e-31,-3.1444187e-28
90,-2.29014786639909419304708402138e-28,-2.88438403681729844611967552544e-31,-2.2872635e-28
91,-1.6705019554101175798684672769e-28,-1.52254368443780237743500233392e-31,-1.6689794e-28
92,-1.2223962983313700336598007674e-28,-8.02415404933419297180973067579e-32,-1.2215939e-28
93,-8.97280277580441503334659311797e-29,-4.22251269394709756853746560608e-32,-8.9685803e-29
94,-6.60641347525964118384952224244e-29,-2.21877196599565045167594203513e-32,-6.6041947e-29
95,-4.87861265527131929764847211657e-29,-1.16426183857777479509754759551e-32,-4.8774484e-29
96,-3.61320176443317356076530981608e-29,-6.10112355375785933046032498776e-33,-3.6125917e-29
97,-2.68365435672270682514043264182e-29,-3.19310867511710917411228508089e-33,-2.683335e-29
98,-1.99881901302989356107513309243e-29,-1.66910870388599645172235542285e-33,-1.9986521e-29
99,-1.49282096108083041485141722092e-29,-8.71452551252977251484355718584e-34,-1.4927338e-29
100,-1.11790510471163817701962653123e-29,-4.5447619598083613134864140805e-34,-1.1178597e-29
