n,a_n_real,a_n_imag
0,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
1,-1.93750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
2,0.892578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
3,1.93233235677083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0
4,-2.01064999898274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0
5,-0.680782564481099446614583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0
6,1.55578467258148723178439670138888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,0
7,0.205089475688273234972878107948908730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158730158731,0
8,-0.459646897792389074946561503031897166418650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650793650,0
9,0.410141233859695519903872648296743053187348434744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268077601410934744268080,0
10,1.04826194556164957740097481702377188563136617132385361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885361552028218694885362,0
11,2.05399707661570563037267397380547946821005275200933566818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152316818983485650152318,0
12,5.52856317025717019710075801390878631758605802016487343805323406017850462294906739351183795628240072684517128961573406017850462294906739351183795628240072684517128961573406017850462294906739351183795628240072684517128961573406017850462294906739351183795628240072684517128961573406017850462294906739351183795628240072684517128961573406017850462294906739351183795628240072684517128961573406017850462294906739351183795628240072684517128961573406017850466,0
13,16.3495998782681479531256297672429848745702584388536101594785202098570154125709681265236820792376347931903487459043014598570154125709681265236820792376347931903487459043014598570154125709681265236820792376347931903487459043014598570154125709681265236820792376347931903487459043014598570154125709681265236820792376347931903487459043014598570154125709681265236820792376347931903487459043014598570154125709681265236820792376347931903487459043014598570155,0
14,51.9090966445572967790762899975869405068520599681776101356486208880433985840731872477904223935969967715999462031208062954094700126446158192189938221684253430285176316922348668380414412160443906475652507398539144570890602636634382666128697874729620761366793112824858856604888350920096951842983589015335047081078827110573142319174065205811237557269303301049332795364541396287428033459779491525523271555017586763618509650255682001713747745493777239808989,0
15,177.664791447153077663946803525220783617226274560587783670953368170577799858657166858225059283260341461399662457863516064574265632466690667748868807069865270923471981673039874098075156276214477272678330879389080447281505482563683621884680085738286796487854688912889971091029292087493145694203895262096320297378498436699494900553101611302669503727704785905844106902307960509018710076911135112193313251514309715367916426117484318542519600720658921717124,0
16,652.469440965446929098745969355212930979373674057726680529592213173255813837146654426126979037031947084857137767190677243587296497349407402317455227508137561047613957666867719777772687825597878507931417984328037238090148143058195968248878301788354698407608460518513428566338619248672158725068777978830888883798936708989619042529095439148349201259254169307079359989412899465809518719571629624539677449730359783269836179889089941999994910047820100730157,0
17,2559.41617585787966262862159173390509117116074955999877428478112938694839034286276751208416148697816920661614094542821589195694393329002728318009986232830926263854990901365006562641172040487322155545000238433167160213534318731953341352656634324857169550602479329525703630901265510664825946494169338862771791498837872943070577679976995258663481508174941103668150042255239889849289164570832793677487110415837462211567409202018601333883002105846799279729,0
