n,a_n_real,a_n_imag
0,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
1,0.637490922230211781645518445137578023944226933694098425603873402159392013167822235870144082625931767436167954826503855976308382569687114454007067653756956967861034314519598582288907399064982553964812818135793007957473006892261315954533732031076621513736107615723368122564489452309358623510197346170352014588697575480023265436916118661315324506699790771867242088187078485184605170968075560355438585667197234565155366279888018668127690292019120907501339,0
2,0.479239004629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629630,0
3,0.709320080566846492245491668099202375626858537206363172622767209416571754067413513985424296076252823995814832674657268633426670305350221752950225657246058830457772290661827894763545024705484099129852338936519040954391920294140251217341545353886131162762046529824841939225716678247835898496893978474163975140873460569557664613888480492976247167250840847185808032567146712494735989509489527020462077563945817973847997802244246553351078977730120055402305,0
4,1.12649398074610134102080475537265660722450845907636031092821216278006401463191586648376771833561957018747142203932327389117512574302697759487882944673068129858253315043438500228623685413808870598994055784179240969364426154549611339734796524919981710105166895290352080475537265660722450845907636031092821216278006401463191586648376771833561957018747142203932327389117512574302697759487882944673068129858253315043438500228623685413808870598994055784179,0
5,2.15010850007310404731783558708598884492292186952739145198922989139145412958070317224300528612363511637974935689882109838596262043206916199681255353081535952533723487854993457516667647866678544208742375398390951180374752176151801606820642678351176523716581946344374012959942130587893275010722488054257386013131199711516983997456734570286811081318838985732034444406774045272239473714027454747757372323287876080420191494399595285564111956195903915228983,0
6,4.95182158656765854931277681040498851236543661478884768017522170852455869983685865411212157135034745155153629471568810084280286993288060198592129700192495498089157592282115982771370669556921652638768932016912507691352379662088547929121012492449773352074830507996183960213833708727779753538022094644560732047395665746526895741954422033678244621698363506014778686627490163536497936741802006243402372041299034135491992525981247212766798195848645475226789,0
7,13.4090845687793742969626474212123063736482620289771464527245209365815226356180490212775122476902800835466598258300258338302403107658966163679656032556642038088989209111201740813908438163283224574406702516460368689696945722236473178225412562268897419551786904092600038556910915117748057789845290324257463473099077709804581119142915243877200739487928672608375415214291122841234339173524374764971977728483425711621817649684260420437320015364876163278486,0
8,41.8678194993637222514918501755197617124923875174902570229615000342136562337864081613622954994810007878250637089341668024908497510347950942485425146717745519870308887339940645952037621103425209619500236897088099761585623609818205267182670130504415025180265348035617924467298151300702853932657429188558702465232070588074358953910964388138712287582999477640651355137064745469065045462049080512842247446841371660871849980330507802042741951405377825243812,0
9,148.317635637864208180520058265120783918254832528517724054070009592435919370493281564820666427383729185191876722124251935104098095144368084329641807355477782104358813120661197004710327931986928053491803009508596925341851957559172826592526449569635425364794529049879213778488164548786014911529266477520013380805026395698380351415052528741353552028205413961973758827143515943916252897230699525542837623626390890492072854627808345084165093284462696073714,0
