n,a_n_real,a_n_imag
0,1.0,0.0
1,0.0,0.0
2,-1.25,0.0
3,0.294627825494394801833685150877020433035348307370197515245142,0.0
4,0.46875,0.0
5,0.515598694615190903208949014034785757811859537897845651678998,0.0
6,-1.45399305555555555555555555555555555555555555555555555555556,0.0
7,2.30835640063688784472373857048736991061176910461918142524653,0.0
8,-5.94211154513888888888888888888888888888888888888888888888889,0.0
9,18.1647578183809632464024846151760553562631254409416396722411,0.0
10,-59.578886486235119047619047619047619047619047619047619047619,0.0
11,215.109220634990747147621940691721204410704939155271127152176,0.0
12,-850.925484802497267232510288065843621399176954732510288065844,0.0
13,3657.92219132104202056040005732558754216937499724147331814857,0.0
14,-16986.509022925720049414090832741626392420043213694007344801,0.0
15,84772.9492243019011817936395466980375722676504672383632962604,0.0
16,-452580.372118365670795006252944310980025265739551453837168123,0.0
17,2574210.05221898089414116515506220189932210573103519330218059,0.0
18,-15542401.2183762283166768759675337062030551154595834196069352,0.0
19,99288363.966455515182371156145440675666732624945638428926793,0.0
20,-669123759.771166985250234659783953878505641147426256531627075,0.0
21,4744458080.43002307099059087408892072845482630450130093923313,0.0
22,-35309329711.4671232736172056876728547492697990216187199038465,0.0
23,275206427218.91981621245904731795678021246852035508250987665,0.0
24,-2241913921837.48030883316631211063604887919084926744221766912,0.0
25,19053174973791.5247008543772520915421640315479186282645426021,0.0
26,-168641374379163.492141734448583726036679465367325152224803696,0.0
27,1552122401843783.90955615902802547044120901226826260181598201,0.0
28,-14832688201116919.4038425327163416309088142884217106485655838,0.0
29,146979876829700294.195543494591512653017480704653697700176847,0.0
30,-1508316594221129192.15776360475390855305435678258895344668826,0.0
31,16010789239012856962.7396899046284856352435247540161340465165,0.0
32,-175606483266870129557.315901788479595512854013527556128033822,0.0
33,1988052378759534594094.37656013060996642512285580358967330478,0.0
34,-23208853953282461242932.4580216052819078401912914680549342385,0.0
35,279140034899796735116246.275361913558591388179390039614503774,0.0
36,-3455889144764028372643702.48068906310076095766471045180844771,0.0
37,44006236997761904149151102.3373064882707338499690978529934866,0.0
38,-575906631128969501594540325.918925779231103303775634532387103,0.0
39,7740297201178107868740996331.89245272765059082247133365233647,0.0
40,-106765633435838779983825971598.168749648800640457912125482264,0.0
41,1510390505483827354060686095686.35664828654486274663143386339,0.0
42,-21900827428642138457830172454517.8500872666480442297039668184,0.0
43,325302840259308131887113640720711.913415838115939722240950645,0.0
44,-4946816940915068949108922697509936.96179453444110788996926859,0.0
45,76973334180056583123949008611262404.7705100918828545581573569,0.0
46,-1224919456080423428485729020245069221.3769233385553250090912,0.0
47,19925702010686689329555899556844545371.7193859572887553738411,0.0
48,-331172180180554085284738202844288986358.263759474451436115614,0.0
49,5621238636452948217608503162380526146687.85960318815835776307,0.0
50,-97400247411959643637964986642445999592339.2338950487320072905,0.0
51,1722096311933873155120035563486746877244849.73214858435479899,0.0
52,-31056374632483633628238831873427046209187515.076625144948777,0.0
53,571048953230741931415589423369556369914164949.668338777455858,0.0
54,-10701997280576318739761622872941400373663491965.444379367128,0.0
