n,a_n_real
0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,1.5026019100214134893517942694728042084802763675880073277502222216151532583659887287785367552231191710309522116203443155889826383093414082884343790906686818208765490825479746923030374474074748309393571869914074698313434166930091658906490497573059447735226493498073895780089665415172477663547449546209890427067338304775468814931594037119994197456673597
2,1.6601562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,2.2411279866610742094169339621203980048817724958671313337377510203363878217035001926703773157521292599177184755578251269503874782320622888787287579681825399125252022276697848639106195016364703877820237823440316835191291630869307205414069351963862333467223154709558285273107081390138913721067668888889797509672355913671316194329268587993079580811412757
4,3.4845809936523437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,6.2099108601887715444732338640895028007626486698147498736917115296251349404995982264962063281092043472318807770537548205292330597284914951279623628125067515507118053775525046113690734359254438266212281248363339644960036059742488172269429722374246063690417322967773394564189685426979954977993536332341017359654450735200624973283434779277140598916017805
6,12.796965318918228149414062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,30.245422206975539100248168766668515100516414231473772519796831725741133976342143304305085872029206798442156521857078453779358246447316683794609891905465095184133521770931277667047667020494775752580464818085113662947963591889198024733249928139520257902755452448616694641768939526941545048038684248298180372643229961417698280381068350394475591054987068
8,81.083338405585215826119695390973772321428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571428572
9,243.88106927963851352160555554909989764394360742346255661697493504071704475618674495229568961688162651652969523877653374157727960940464810951602381256984480667304474013404472922618782722478645131822657159365608232842926485588539369376936301454584064453508911835462807769207887908314669060205994734738139288221242174457076582253823237227851465407011547
10,814.80910087396885508439034253122314574226500496031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746032
