
[INIT] script_sha256 = 99d2ce7ab28e16b70f298102e4f3be3bdd598e96b9b4c10c94b6ccfa28c18596
[ENUM] b1 in [5, 8, 9, 10]  a2 in -30..30 (excl 0)  free in -5..5  total=319440
[STAGE A] 044R strict cache-load mode (recompute disabled)
[STAGE A] cache load OK: 241892/319440 convergent (cached t_a=423.6s, load took 859ms); per-b1 integrity PASS against stage_a_summary.json
[STAGE B/C] PSLQ dps=150 N=600  h_max=1e+07  wall_budget=9000s  workers...
[STAGE B/C] dispatched 241892 tasks to 7 workers
  [BC] 1/241892 (0.0%)  elapsed_bc=440s  rate=0.0/s  eta_bc=106541114s  wall_total=442s/9000s
  [BC] 4066/241892 (1.7%)  elapsed_bc=500s  rate=8.1/s  eta_bc=29273s  wall_total=502s/9000s
  [BC] 7237/241892 (3.0%)  elapsed_bc=560s  rate=12.9/s  eta_bc=18173s  wall_total=562s/9000s
  [BC] 9524/241892 (3.9%)  elapsed_bc=620s  rate=15.3/s  eta_bc=15139s  wall_total=622s/9000s
  [BC] 11834/241892 (4.9%)  elapsed_bc=681s  rate=17.4/s  eta_bc=13230s  wall_total=682s/9000s
  [BC] 15124/241892 (6.3%)  elapsed_bc=741s  rate=20.4/s  eta_bc=11103s  wall_total=742s/9000s
  [BC] 18325/241892 (7.6%)  elapsed_bc=801s  rate=22.9/s  eta_bc=9767s  wall_total=802s/9000s
  [BC] 21417/241892 (8.9%)  elapsed_bc=861s  rate=24.9/s  eta_bc=8859s  wall_total=862s/9000s
  [BC] 24450/241892 (10.1%)  elapsed_bc=921s  rate=26.6/s  eta_bc=8187s  wall_total=922s/9000s
  [BC] 27500/241892 (11.4%)  elapsed_bc=981s  rate=28.0/s  eta_bc=7644s  wall_total=982s/9000s
  [BC] 30618/241892 (12.7%)  elapsed_bc=1041s  rate=29.4/s  eta_bc=7180s  wall_total=1042s/9000s
  [BC] 33608/241892 (13.9%)  elapsed_bc=1101s  rate=30.5/s  eta_bc=6821s  wall_total=1102s/9000s
  [BC] 36718/241892 (15.2%)  elapsed_bc=1161s  rate=31.6/s  eta_bc=6485s  wall_total=1162s/9000s
  [BC] 39814/241892 (16.5%)  elapsed_bc=1221s  rate=32.6/s  eta_bc=6195s  wall_total=1222s/9000s
  [BC] 42868/241892 (17.7%)  elapsed_bc=1281s  rate=33.5/s  eta_bc=5946s  wall_total=1282s/9000s
  [BC] 46000/241892 (19.0%)  elapsed_bc=1341s  rate=34.3/s  eta_bc=5709s  wall_total=1342s/9000s
  [BC] 49155/241892 (20.3%)  elapsed_bc=1401s  rate=35.1/s  eta_bc=5492s  wall_total=1402s/9000s
  [BC] 52285/241892 (21.6%)  elapsed_bc=1461s  rate=35.8/s  eta_bc=5297s  wall_total=1462s/9000s
  [BC] 55342/241892 (22.9%)  elapsed_bc=1521s  rate=36.4/s  eta_bc=5126s  wall_total=1522s/9000s
  [BC] 58567/241892 (24.2%)  elapsed_bc=1581s  rate=37.0/s  eta_bc=4948s  wall_total=1582s/9000s
  [BC] 61831/241892 (25.6%)  elapsed_bc=1641s  rate=37.7/s  eta_bc=4778s  wall_total=1642s/9000s
  [BC] 65387/241892 (27.0%)  elapsed_bc=1701s  rate=38.4/s  eta_bc=4591s  wall_total=1702s/9000s
  [BC] 68516/241892 (28.3%)  elapsed_bc=1761s  rate=38.9/s  eta_bc=4456s  wall_total=1762s/9000s
  [BC] 71588/241892 (29.6%)  elapsed_bc=1821s  rate=39.3/s  eta_bc=4332s  wall_total=1822s/9000s
  [BC] 74696/241892 (30.9%)  elapsed_bc=1881s  rate=39.7/s  eta_bc=4210s  wall_total=1883s/9000s
  [BC] 77845/241892 (32.2%)  elapsed_bc=1941s  rate=40.1/s  eta_bc=4090s  wall_total=1943s/9000s
  [BC] 80834/241892 (33.4%)  elapsed_bc=2001s  rate=40.4/s  eta_bc=3987s  wall_total=2003s/9000s
  [BC] 83916/241892 (34.7%)  elapsed_bc=2061s  rate=40.7/s  eta_bc=3880s  wall_total=2063s/9000s
  [BC] 87022/241892 (36.0%)  elapsed_bc=2121s  rate=41.0/s  eta_bc=3775s  wall_total=2123s/9000s
  [BC] 90166/241892 (37.3%)  elapsed_bc=2181s  rate=41.3/s  eta_bc=3670s  wall_total=2183s/9000s
  [BC] 93297/241892 (38.6%)  elapsed_bc=2241s  rate=41.6/s  eta_bc=3569s  wall_total=2243s/9000s
  [BC] 96433/241892 (39.9%)  elapsed_bc=2301s  rate=41.9/s  eta_bc=3471s  wall_total=2303s/9000s
